time,theta,zeta_wall
0.060000,5.497787,2.40992043e-03
0.060000,5.595962,5.47379830e-03
0.060000,5.694137,8.48496050e-03
0.060000,5.792311,1.14144079e-02
0.060000,5.890486,1.42339283e-02
0.060000,5.988661,1.69163682e-02
0.060000,6.086836,1.94358942e-02
0.060000,6.185011,2.17682419e-02
0.070000,0.000000,2.13105791e-02
0.070000,0.098175,2.34776091e-02
0.070000,0.196350,2.54185369e-02
0.070000,0.294524,2.71146703e-02
0.070000,0.392699,2.85496747e-02
0.070000,0.490874,2.97097300e-02
0.070000,0.589049,3.05836644e-02
0.070000,0.687223,3.11630614e-02
0.070000,0.785398,3.14423411e-02
0.070000,0.883573,3.14188138e-02
0.070000,0.981748,3.10927062e-02
0.070000,1.079922,3.04671588e-02
0.070000,1.178097,2.95481961e-02
0.070000,1.276272,2.83446680e-02
0.070000,1.374447,2.68681653e-02
0.070000,1.472622,2.51329075e-02
0.070000,1.570796,2.31556061e-02
0.070000,1.668971,2.09553035e-02
0.070000,1.767146,1.85531899e-02
0.070000,1.865321,1.59723989e-02
0.070000,1.963495,1.32377850e-02
0.070000,2.061670,1.03756839e-02
0.070000,2.159845,7.41365942e-03
0.070000,2.258020,4.38023730e-03
0.070000,2.356194,1.30463110e-03
0.070000,2.454369,-1.78353941e-03
0.070000,2.552544,-4.85453346e-03
0.070000,2.650719,-7.87877570e-03
0.070000,2.748894,-1.08271410e-02
0.070000,2.847068,-1.36712351e-02
0.070000,2.945243,-1.63836676e-02
0.070000,3.043418,-1.89383165e-02
0.070000,3.141593,-2.13105791e-02
0.070000,3.239767,-2.34776091e-02
0.070000,3.337942,-2.54185369e-02
0.070000,3.436117,-2.71146703e-02
0.070000,3.534292,-2.85496747e-02
0.070000,3.632467,-2.97097300e-02
0.070000,3.730641,-3.05836644e-02
0.070000,3.828816,-3.11630614e-02
0.070000,3.926991,-3.14423411e-02
0.070000,4.025166,-3.14188138e-02
0.070000,4.123340,-3.10927062e-02
0.070000,4.221515,-3.04671588e-02
0.070000,4.319690,-2.95481961e-02
0.070000,4.417865,-2.83446680e-02
0.070000,4.516039,-2.68681653e-02
0.070000,4.614214,-2.51329075e-02
0.070000,4.712389,-2.31556061e-02
0.070000,4.810564,-2.09553035e-02
0.070000,4.908739,-1.85531899e-02
0.070000,5.006913,-1.59723989e-02
0.070000,5.105088,-1.32377850e-02
0.070000,5.203263,-1.03756839e-02
0.070000,5.301438,-7.41365942e-03
0.070000,5.399612,-4.38023730e-03
0.070000,5.497787,-1.30463110e-03
0.070000,5.595962,1.78353941e-03
0.070000,5.694137,4.85453346e-03
0.070000,5.792311,7.87877570e-03
0.070000,5.890486,1.08271410e-02
0.070000,5.988661,1.36712351e-02
0.070000,6.086836,1.63836676e-02
0.070000,6.185011,1.89383165e-02
0.080000,0.000000,1.84332023e-02
0.080000,0.098175,2.08444356e-02
0.080000,0.196350,2.30549256e-02
0.080000,0.294524,2.50433841e-02
0.080000,0.392699,2.67906611e-02
0.080000,0.490874,2.82799294e-02
0.080000,0.589049,2.94968465e-02
0.080000,0.687223,3.04296928e-02
0.080000,0.785398,3.10694846e-02
0.080000,0.883573,3.14100602e-02
0.080000,0.981748,3.14481399e-02
0.080000,1.079922,3.11833567e-02
0.080000,1.178097,3.06182607e-02
0.080000,1.276272,2.97582942e-02
0.080000,1.374447,2.86117390e-02
0.080000,1.472622,2.71896372e-02
0.080000,1.570796,2.55056842e-02
0.080000,1.668971,2.35760976e-02
0.080000,1.767146,2.14194603e-02
0.080000,1.865321,1.90565418e-02
0.080000,1.963495,1.65100985e-02
0.080000,2.061670,1.38046539e-02
0.080000,2.159845,1.09662629e-02
0.080000,2.258020,8.02226079e-03
0.080000,2.356194,5.00099994e-03
0.080000,2.454369,1.93157673e-03
0.080000,2.552544,-1.15644862e-03
0.080000,2.650719,-4.23333674e-03
0.080000,2.748894,-7.26945552e-03
0.080000,2.847068,-1.02355655e-02
0.080000,2.945243,-1.31031013e-02
0.080000,3.043418,-1.58444471e-02
0.080000,3.141593,-1.84332023e-02
0.080000,3.239767,-2.08444356e-02
0.080000,3.337942,-2.30549256e-02
0.080000,3.436117,-2.50433841e-02
0.080000,3.534292,-2.67906611e-02
0.080000,3.632467,-2.82799294e-02
0.080000,3.730641,-2.94968465e-02
0.080000,3.828816,-3.04296928e-02
0.080000,3.926991,-3.10694846e-02
0.080000,4.025166,-3.14100602e-02
0.080000,4.123340,-3.14481399e-02
0.080000,4.221515,-3.11833567e-02
0.080000,4.319690,-3.06182607e-02
0.080000,4.417865,-2.97582942e-02
0.080000,4.516039,-2.86117390e-02
0.080000,4.614214,-2.71896372e-02
0.080000,4.712389,-2.55056842e-02
0.080000,4.810564,-2.35760976e-02
0.080000,4.908739,-2.14194603e-02
0.080000,5.006913,-1.90565418e-02
0.080000,5.105088,-1.65100985e-02
0.080000,5.203263,-1.38046539e-02
0.080000,5.301438,-1.09662629e-02
0.080000,5.399612,-8.02226079e-03
0.080000,5.497787,-5.00099994e-03
0.080000,5.595962,-1.93157673e-03
0.080000,5.694137,1.15644862e-03
0.080000,5.792311,4.23333674e-03
0.080000,5.890486,7.26945552e-03
0.080000,5.988661,1.02355655e-02
0.080000,6.086836,1.31031013e-02
0.080000,6.185011,1.58444471e-02
0.090000,0.000000,1.52989213e-02
0.090000,0.098175,1.79207525e-02
0.090000,0.196350,2.03699970e-02
0.090000,0.294524,2.26230673e-02
0.090000,0.392699,2.46582651e-02
0.090000,0.490874,2.64559904e-02
0.090000,0.589049,2.79989300e-02
0.090000,0.687223,2.92722246e-02
0.090000,0.785398,3.02636116e-02
0.090000,0.883573,3.09635436e-02
0.090000,0.981748,3.13652797e-02
0.090000,1.079922,3.14649510e-02
0.090000,1.178097,3.12615976e-02
0.090000,1.276272,3.07571780e-02
0.090000,1.374447,2.99565499e-02
0.090000,1.472622,2.88674239e-02
0.090000,1.570796,2.75002887e-02
0.090000,1.668971,2.58683108e-02
0.090000,1.767146,2.39872069e-02
0.090000,1.865321,2.18750931e-02
0.090000,1.963495,1.95523102e-02
0.090000,2.061670,1.70412279e-02
0.090000,2.159845,1.43660292e-02
0.090000,2.258020,1.15524778e-02
0.090000,2.356194,8.62766968e-03
0.090000,2.454369,5.61977242e-03
0.090000,2.552544,2.55775368e-03
0.090000,2.650719,-5.28897619e-04
0.090000,2.748894,-3.61045535e-03
0.090000,2.847068,-6.65724242e-03
0.090000,2.945243,-9.63991661e-03
0.090000,3.043418,-1.25297531e-02
0.090000,3.141593,-1.52989213e-02
0.090000,3.239767,-1.79207525e-02
0.090000,3.337942,-2.03699970e-02
0.090000,3.436117,-2.26230673e-02
0.090000,3.534292,-2.46582651e-02
0.090000,3.632467,-2.64559904e-02
0.090000,3.730641,-2.79989300e-02
0.090000,3.828816,-2.92722246e-02
0.090000,3.926991,-3.02636116e-02
0.090000,4.025166,-3.09635436e-02
0.090000,4.123340,-3.13652797e-02
0.090000,4.221515,-3.14649510e-02
0.090000,4.319690,-3.12615976e-02
0.090000,4.417865,-3.07571780e-02
0.090000,4.516039,-2.99565499e-02
0.090000,4.614214,-2.88674239e-02
0.090000,4.712389,-2.75002887e-02
0.090000,4.810564,-2.58683108e-02
0.090000,4.908739,-2.39872069e-02
0.090000,5.006913,-2.18750931e-02
0.090000,5.105088,-1.95523102e-02
0.090000,5.203263,-1.70412279e-02
0.090000,5.301438,-1.43660292e-02
0.090000,5.399612,-1.15524778e-02
0.090000,5.497787,-8.62766968e-03
0.090000,5.595962,-5.61977242e-03
0.090000,5.694137,-2.55775368e-03
0.090000,5.792311,5.28897619e-04
0.090000,5.890486,3.61045535e-03
0.090000,5.988661,6.65724242e-03
0.090000,6.086836,9.63991661e-03
0.090000,6.185011,1.25297531e-02
0.100000,0.000000,1.19514187e-02
0.100000,0.098175,1.47473072e-02
0.100000,0.196350,1.74011710e-02
0.100000,0.294524,1.98874521e-02
0.100000,0.392699,2.21822061e-02
0.100000,0.490874,2.42633333e-02
0.100000,0.589049,2.61107914e-02
0.100000,0.687223,2.77067883e-02
0.100000,0.785398,2.90359537e-02
0.100000,0.883573,3.00854869e-02
0.100000,0.981748,3.08452805e-02
0.100000,1.079922,3.13080172e-02
0.100000,1.178097,3.14692405e-02
0.100000,1.276272,3.13273979e-02
0.100000,1.374447,3.08838553e-02
0.100000,1.472622,3.01428843e-02
