time,theta,zeta_wall
2.870000,2.454369,-2.38366651e-04
2.870000,2.552544,-2.04794030e-04
2.870000,2.650719,-1.69249130e-04
2.870000,2.748894,-1.32074269e-04
2.870000,2.847068,-9.36274611e-05
2.870000,2.945243,-5.42789691e-05
2.870000,3.043418,-1.44077410e-05
2.870000,3.141593,2.56022416e-05
2.870000,3.239767,6.53656606e-05
2.870000,3.337942,1.04499573e-04
2.870000,3.436117,1.42627096e-04
2.870000,3.534292,1.79381043e-04
2.870000,3.632467,2.14407453e-04
2.870000,3.730641,2.47369001e-04
2.870000,3.828816,2.77948251e-04
2.870000,3.926991,3.05850708e-04
2.870000,4.025166,3.30807654e-04
2.870000,4.123340,3.52578742e-04
2.870000,4.221515,3.70954305e-04
2.870000,4.319690,3.85757374e-04
2.870000,4.417865,3.96845389e-04
2.870000,4.516039,4.04111566e-04
2.870000,4.614214,4.07485928e-04
2.870000,4.712389,4.06935977e-04
2.870000,4.810564,4.02467011e-04
2.870000,4.908739,3.94122067e-04
2.870000,5.006913,3.81981512e-04
2.870000,5.105088,3.66162267e-04
2.870000,5.203263,3.46816678e-04
2.870000,5.301438,3.24131056e-04
2.870000,5.399612,2.98323874e-04
2.870000,5.497787,2.69643670e-04
2.870000,5.595962,2.38366651e-04
2.870000,5.694137,2.04794030e-04
2.870000,5.792311,1.69249130e-04
2.870000,5.890486,1.32074269e-04
2.870000,5.988661,9.36274611e-05
2.870000,6.086836,5.42789691e-05
2.870000,6.185011,1.44077410e-05
2.880000,0.000000,2.56022416e-05
2.880000,0.098175,-1.44077410e-05
2.880000,0.196350,-5.42789691e-05
2.880000,0.294524,-9.36274611e-05
2.880000,0.392699,-1.32074269e-04
2.880000,0.490874,-1.69249130e-04
2.880000,0.589049,-2.04794030e-04
2.880000,0.687223,-2.38366651e-04
2.880000,0.785398,-2.69643670e-04
2.880000,0.883573,-2.98323874e-04
2.880000,0.981748,-3.24131056e-04
2.880000,1.079922,-3.46816678e-04
2.880000,1.178097,-3.66162267e-04
2.880000,1.276272,-3.81981512e-04
2.880000,1.374447,-3.94122067e-04
2.880000,1.472622,-4.02467011e-04
2.880000,1.570796,-4.06935977e-04
2.880000,1.668971,-4.07485928e-04
2.880000,1.767146,-4.04111566e-04
2.880000,1.865321,-3.96845389e-04
